% Moku:Go Data Logger
% Input 1, DC coupling, 10 Vpp range
% Input 2, DC coupling, 10 Vpp range
% Acquisition rate: 1.0000000000e+04 Hz, Precision mode
% Output 1 - Sine, 10.000 000 000 000 MHz, 1.000 0 Vpp, offset 0.000 0 V, phase 0.000 000 deg
% Output 2 - Ramp, 50.000 000 000 kHz, 500.0 mVpp, offset 0.000 0 V, phase 0.000 000 deg, symmetry 90.00 %
% Acquired 1970-01-29 T 08:02:25 +1000
% Time (s), Input 1 (V), Input 2 (V)
1.8100000000e-02, -4.2431657588e-02, 2.4816522620e+00
1.8200000000e-02, -4.3440548684e-02, 2.4821550466e+00
1.8300000000e-02, -4.3645922409e-02, 2.4825155742e+00
1.8400000000e-02, -4.4097314706e-02, 2.4825861164e+00
1.8500000000e-02, -4.5007720210e-02, 2.4830724868e+00
1.8600000000e-02, -4.4961603941e-02, 2.4825298390e+00
1.8700000000e-02, -4.4573914625e-02, 2.4819516269e+00
1.8800000000e-02, -4.3863802241e-02, 2.4815586616e+00
1.8900000000e-02, -4.3880216506e-02, 2.4813988179e+00
1.9000000000e-02, -4.5380949339e-02, 2.4814947632e+00
1.9100000000e-02, -4.2761896974e-02, 2.4820804007e+00
1.9200000000e-02, -4.0829117228e-02, 2.4818756132e+00
1.9300000000e-02, -4.1531804112e-02, 2.4822500148e+00
1.9400000000e-02, -4.1172448945e-02, 2.4831060969e+00
1.9500000000e-02, -4.0959454311e-02, 2.4839156719e+00
1.9600000000e-02, -3.9938643332e-02, 2.4847295459e+00
1.9700000000e-02, -3.9207036076e-02, 2.4844710212e+00
1.9800000000e-02, -3.9625209027e-02, 2.4844270545e+00
1.9900000000e-02, -3.8666733175e-02, 2.4843948122e+00
2.0000000000e-02, -3.7282658871e-02, 2.4838298879e+00
2.0100000000e-02, -3.7130436100e-02, 2.4833997950e+00
2.0200000000e-02, -3.5431559636e-02, 2.4832426871e+00
2.0300000000e-02, -3.3799708088e-02, 2.4829056084e+00
2.0400000000e-02, -3.2168833579e-02, 2.4834793260e+00
2.0500000000e-02, -3.0921544820e-02, 2.4836379973e+00
2.0600000000e-02, -2.8922912604e-02, 2.4843785933e+00
2.0700000000e-02, -2.7212702480e-02, 2.4852397560e+00
2.0800000000e-02, -2.4399610050e-02, 2.4858695557e+00
2.0900000000e-02, -2.3093698914e-02, 2.4865650125e+00
2.1000000000e-02, -2.2596190348e-02, 2.4863748806e+00
2.1100000000e-02, -2.3045042342e-02, 2.4859029705e+00
2.1200000000e-02, -2.3970298848e-02, 2.4853607135e+00
2.1300000000e-02, -2.4785345286e-02, 2.4847275918e+00
2.1400000000e-02, -2.5838007756e-02, 2.4843279826e+00
2.1500000000e-02, -2.6778896896e-02, 2.4842132782e+00
2.1600000000e-02, -2.8194627283e-02, 2.4840219738e+00
2.1700000000e-02, -2.9576552100e-02, 2.4842296925e+00
2.1800000000e-02, -3.1050123232e-02, 2.4848342846e+00
2.1900000000e-02, -3.0055496914e-02, 2.4857837717e+00
2.2000000000e-02, -3.0828530650e-02, 2.4863195802e+00
2.2100000000e-02, -3.2621398324e-02, 2.4869482075e+00
2.2200000000e-02, -3.3660382240e-02, 2.4868229510e+00
2.2300000000e-02, -3.4371862480e-02, 2.4863651102e+00
2.2400000000e-02, -3.4116659735e-02, 2.4859408796e+00
2.2500000000e-02, -3.4511774552e-02, 2.4855389255e+00
2.2600000000e-02, -3.4206742787e-02, 2.4850259797e+00
2.2700000000e-02, -3.4417001710e-02, 2.4846250027e+00
2.2800000000e-02, -3.5571080891e-02, 2.4848426871e+00
2.2900000000e-02, -3.5756523008e-02, 2.4845618859e+00
2.3000000000e-02, -3.6012116569e-02, 2.4848551932e+00
2.3100000000e-02, -3.7161505960e-02, 2.4852123989e+00
2.3200000000e-02, -3.9425111316e-02, 2.4854105425e+00
2.3300000000e-02, -4.1654324878e-02, 2.4861929558e+00
2.3400000000e-02, -4.3586127585e-02, 2.4859315000e+00
2.3500000000e-02, -4.5084710931e-02, 2.4859613975e+00
2.3600000000e-02, -4.7821985087e-02, 2.4851133271e+00
2.3700000000e-02, -5.0248560650e-02, 2.4849118615e+00
2.3800000000e-02, -5.2340207036e-02, 2.4844671131e+00
2.3900000000e-02, -5.2855106908e-02, 2.4837714609e+00
2.4000000000e-02, -5.2231951048e-02, 2.4836718028e+00
2.4100000000e-02, -5.3512654562e-02, 2.4838171863e+00
2.4200000000e-02, -5.2886762991e-02, 2.4843092235e+00
2.4300000000e-02, -5.2004105412e-02, 2.4840211922e+00
2.4400000000e-02, -5.1267808366e-02, 2.4844858722e+00
